Ticker,Company Name,Industry,Market Price,Market Cap,Market Currency,EBIT/Market Cap,ROIC,D/P,Total Debt/Common Equity,Combined_rank
300956.SZ,ANHUI SHINY ELECTR,Metal Fabrication,23.46,4211609600.0,CNY,0.011063783259967866,0.024841052295575563,0.004262574595055414,0.37194728855523357,8845.0
300465.SZ,GLOBAL INFOTECH CO,Software - Application,15.67,6953546752.0,CNY,0.007226532129887089,0.052323894994523376,0.0,0.5020995558417889,8848.0
603869.SS,ENC DIGITAL TECHNOLOGY CO LTD,Information Technology Services,5.87,2981666560.0,CNY,-0.008795870209578362,-0.006628674058242589,0.0,0.028948058830955765,8853.0
300672.SZ,GOKE MICROELECTRON,Semiconductors,66.58,14457247744.0,CNY,0.004734166320031761,0.013686607840606583,0.0045058576148993695,0.2200109082699966,8853.0
300527.SZ,CHINA HARZONE INDU,Specialty Industrial Machinery,7.62,7519590912.0,CNY,0.0016827419214796953,0.00436062063454993,0.0,0.0834875619879783,8855.0
603466.SS,SHANGHAI FENGYUZHU CUL SCI AND ,Advertising Agencies,10.27,6108452352.0,CNY,0.010452416995459598,0.02343012872283109,0.0,0.23636701317114714,8856.0
300245.SZ,SHANGHAI DRAGONNET,Information Technology Services,15.67,4911886848.0,CNY,-0.01733045836238287,-0.061517753326921006,0.0,0.0023441822215257433,8862.0
302132.SZ,AVIC CHENGDU AIRCR,Aerospace & Defense,58.49,156564865024.0,CNY,0.0007935699276523769,0.0403897244574832,0.0002393571550692426,0.2558951704854427,8865.0
300016.SZ,BEIJING BEILU PHAR,Drug Manufacturers - Specialty & Generic,6.24,3069749248.0,CNY,0.021190456214748122,0.02701561553269888,0.0,0.4849554427183845,8876.0
603131.SS,SHANGHAI HUGONG ELECTRIC GROUP ,Specialty Industrial Machinery,16.59,5275470848.0,CNY,0.011466249326907462,0.03701455667803345,0.0,0.3748286442585318,8879.0
002747.SZ,ESTUN AUTOMATION,Specialty Industrial Machinery,18.82,16317278208.0,CNY,0.017370744863014848,0.05023271395363352,0.003188097768331562,1.4374054432495322,8880.0
301218.SZ,ZHEJIANG WHYIS TEC,Information Technology Services,18.61,2122284416.0,CNY,0.0013355224769270682,0.002772011811694133,0.0013433637829124128,0.0902804816110158,8880.0
600067.SS,CITYCHAMP DARTONG ADVANCED MATE,Real Estate - Development,2.33,3242590976.0,CNY,0.03204088990223565,0.010772762436773598,0.0,0.6113093642532199,8881.0
300102.SZ,XIAMEN CHANGELIGHT,Semiconductors,10.71,9856777216.0,CNY,0.014685800536815157,0.028100028961257503,0.0,0.34688124298049655,8882.0
600860.SS,BEIJING JINGCHENG MACHINERY ELC,Specialty Industrial Machinery,13.75,6155407360.0,CNY,0.0111219149580378,0.04729506310867147,0.0,0.552518181861819,8890.0
600288.SS,DAHENG NEW EPOCH TECHNOLOGY INC,Electrical Equipment & Parts,8.58,3747744000.0,CNY,-0.0018169348093145458,-0.003481089536309181,0.0013986013986013986,0.06622066839340414,8891.0
002076.SZ,CNLIGHT CO. LTD.,"Furnishings, Fixtures & Appliances",2.05,2273696000.0,CNY,-0.006585407415943029,-0.04708103287304134,0.0,0.011797046212706268,8894.0
002197.SZ,SHENZHEN ZHENGTONG,Information Technology Services,4.43,2721627904.0,CNY,0.039011216240822315,0.01987430388284017,0.0,1.3291896022265526,8895.0
300651.SZ,JIANGSU JINLING SP,Leisure,13.37,1721414272.0,CNY,0.01443892680239147,0.023339915485146884,0.0,0.3075113979600614,8896.0
