代码,上市公司,行业,市值(元),PE-TTM,PB,股息率,财报日期,复合排名,资本收益率(ROC),资本回报率排名,公司收益率,公司收益率排名,关注度
="002741",光华科技,其他化学制品,=7040437773.400001,=-38.36083330786093,=3.7900870859029414,=0,2025-05-19,=3417,=0,=3438,=-0.021835117920826697,=3604,=224
="301285",鸿日达,电子零部件制造,=6229033800,=-258.008141564476,=6.1224047739754885,=0.0016589250165892503,2025-05-19,=3418,=0,=3715,=-0.0047813285034552944,=3328,=18
="002240",盛新锂能,锂,=10617408915.199999,=-16.7830553923287,=0.9221743692743672,=0,2025-05-19,=3419,=0,=3343,=-0.03066472908802122,=3700,=485
="002915",中欣氟材,氟化工及制冷剂,=7720109855,=-41.73835399985011,=5.929935757342076,=0,2025-05-19,=3420,=0,=3459,=-0.020839375606987627,=3587,=102
="002630",ST华西,火电设备,=3140928000,=-8.310817671753057,=19.318696318656535,=0,2025-05-19,=3421,=0,=3416,=-0.02397307216778186,=3630,=122
="002596",海南瑞泽,其他建材,=4257523721.7799997,=-17.603393911218642,=5.811386824518495,=0,2025-05-19,=3422,=0,=3411,=-0.02459114273425369,=3638,=109
="300027",华谊兄弟,影视动漫,=6825284560.74,=-27.712128732246356,=17.713758389872428,=0,2025-05-19,=3423,=0,=3476,=-0.019973364457207418,=3575,=496
="002326",永太科技,氟化工及制冷剂,=10410758943.75,=-21.364952284437056,=3.837286454132589,=0,2025-05-19,=3424,=0,=3363,=-0.029449185389821907,=3688,=331
="600006",东风股份,商用载货车,=14240000000,=353.70822712668377,=1.6896840171767529,=0.0007022471910112359,2025-05-19,=3425,=0,=3735,=-0.004407243092102435,=3317,=513
="301213",观想科技,IT服务,=3711999953.6,=-437.58722905428345,=4.728728973101891,=0.0021551724407327592,2025-05-19,=3426,=0,=3708,=-0.005397615354594862,=3345,=50
="300569",天能重工,风电设备,=5113510280,=-19.734035976547545,=0.9882332846395463,=0,2025-05-19,=3427,=0,=3622,=-0.010538946978524297,=3431,=230
="300386",飞天诚信,计算机设备,=7269785160,=-147.3709125940802,=4.885086931760269,=0,2025-05-19,=3428,=0,=3578,=-0.01337055285585726,=3476,=210
="300808",久量股份,LED,=4123200000,=-131.90231013946544,=4.129740162121507,=0,2025-05-19,=3429,=0,=3666,=-0.008076036939720197,=3389,=66
="002086",东方海洋,医疗器械,=5485050200,=-27.689794310681272,=3.891722450786867,=0,2025-05-19,=3430,=0,=3307,=-0.03559274572721907,=3748,=98
="002127",南极电商,专业连锁,=12323449423.06,=-41.35935056212953,=2.9212696525023705,=0.007968127490039842,2025-05-19,=3431,=0,=3317,=-0.03430487655553758,=3739,=1678
="000555",神州信息,IT服务,=10840853995.07,=-19.339818328940375,=1.9530427597469675,=0,2025-05-19,=3432,=0,=3239,=-0.04615430290151385,=3817,=408
="002279",久其软件,软件开发,=5672085638.559999,=-37.18264141588259,=4.367171359941175,=0,2025-05-19,=3433,=0,=3350,=-0.030902811125487085,=3707,=341
="000701",厦门信达,汽车服务,=3575019590.7400002,=-4.409873804991962,=-7.637534223047857,=0,2025-05-19,=3434,=0,=3261,=-0.04247375759716414,=3797,=126
="600641",万业企业,房地产开发,=13149800769.6,=126.83230872751837,=1.6067941439230156,=0.0030608634111818824,2025-05-19,=3435,=0,=3815,=-0.0012471533834233248,=3245,=462
="301369",联动科技,集成电路,=3379456925.6000004,=161.05140412689536,=2.267751374482201,=0.00536749841153235,2025-05-19,=3436,=0,=3726,=-0.005206669487106407,=3338,=39
="300542",新晨科技,软件开发,=5720407664.84,=-76.7674075585654,=10.25640489267438,=0,2025-05-19,=3437,=0,=3617,=-0.011804519577432586,=3452,=165
="002317",众生药业,中药,=10525238055.72,=-39.29686265619188,=2.6349361273721956,=0.016181229773462785,2025-05-19,=3438,=0,=3361,=-0.03106100674116258,=3709,=394
="000723",美锦能源,焦炭加工,=18890872494.78,=-16.573780091500463,=1.385097440244083,=0,2025-05-19,=3439,=0,=3267,=-0.04363996025660086,=3803,=747
="002757",南兴股份,其它专用机械,=5941618410.43,=-27.53870725557777,=2.9893096074308416,=0.024863252197528586,2025-05-19,=3440,=0,=3440,=-0.02416047822289639,=3631,=315
="300032",金龙机电,显示器件,=4304989098.88,=-44.98333829523625,=6.3524938449306525,=0,2025-05-19,=3441,=0,=3477,=-0.021566873110350687,=3596,=164
="000620",新华联,房地产开发,=10216958169.6,=-15.569354484148494,=2.1105616056692913,=0,2025-05-19,=3442,=0,=3252,=-0.046813309803029016,=3822,=311
="301396",宏景科技,IT服务,=10526917536,=-235.0104441942042,=8.654599933248646,=0.0005208333760808896,2025-05-19,=3443,=0,=3728,=-0.005440098033324919,=3347,=32
="600439",瑞贝卡,其他家用轻工,=4143066710.4,=-35.525519966735686,=1.5690437481005002,=0,2025-05-19,=3444,=0,=3786,=-0.002930486947642029,=3291,=201
="301356",天振股份,其他建材,=3667680000,=17429.371147787162,=1.2345703023713874,=0,2025-05-19,=3445,=0,=3724,=-0.005877826793676526,=3354,=25
="300861",美畅股份,磨具磨料,=9403435080,=-400.39639580718404,=1.4536819632545979,=0.033180193976518634,2025-05-19,=3446,=0,=3671,=-0.008913850131276992,=3407,=272
="600593",大连圣亚,人工景点,=4149936000,=-52.132540851217925,=29.55648057766703,=0,2025-05-19,=3447,=0,=3807,=-0.0023262337494971267,=3277,=171
="300061",旗天科技,营销服务,=8382399571.440001,=-40.75561158348211,=15.112386202327952,=0,2025-05-19,=3448,=0,=3488,=-0.021606497854808705,=3598,=131
="301089",拓新药业,化学原料药,=4846654350,=-189.9308672093008,=3.1289826681379034,=0,2025-05-19,=3449,=0,=3697,=-0.00807930826852535,=3390,=89
="002115",三维通信,通信配套服务,=6374391869.52,=-22.289756672398603,=3.065159219683327,=0,2025-05-19,=3450,=0,=3314,=-0.03868419047712141,=3773,=272
="603033",三维股份,其他橡胶制品,=11610901618.039999,=-78.54880956237537,=3.7932132438953823,=0,2025-05-19,=3451,=0,=3881,=-0.0001293324372962603,=3209,=117
="300902",国安达,其它专用机械,=3316093450.56,=-150.27737542068888,=4.036320965230376,=0,2025-05-19,=3452,=0,=3681,=-0.009358692268471632,=3409,=53
="002650",ST加加,调味发酵品,=7914241374,=-33.77029502428398,=4.187184975061682,=0,2025-05-19,=3453,=0,=3422,=-0.027546890976592475,=3669,=223
="600797",浙大网新,IT服务,=10429392655.5,=-162.76160915621855,=3.1462109252916495,=0,2025-05-19,=3454,=0,=3836,=-0.0015908641236556994,=3256,=253
="300608",思特奇,软件开发,=3769386611.76,=-52.13831133598445,=2.6105782528521027,=0,2025-05-19,=3455,=0,=3632,=-0.012497446996807082,=3461,=236
="002866",传艺科技,电子零部件制造,=4641041763.68,=-96.88940752315993,=2.266901777033174,=0,2025-05-19,=3456,=0,=3454,=-0.024613221797674497,=3639,=189
="000818",航锦科技,氯碱,=16802319439.999998,=-16.399025151243116,=7.305756729022098,=0,2025-05-19,=3457,=0,=3280,=-0.04568383270256095,=3814,=306
="430139",华岭股份,集成电路,=6853572978.559999,=-229.04984041243034,=6.287901789031079,=0,2025-05-19,=3458,=0,=3734,=-0.006226091009729787,=3361,=36
="300231",银信科技,IT服务,=5184599787.78,=-46.071146038687694,=3.1958630269422557,=0.008569003224648743,2025-05-19,=3459,=0,=3531,=-0.01874897801197688,=3564,=304
="600616",金枫酒业,黄酒,=3846778462.5,=648.8246965131971,=1.9545784721811392,=0.008695652173913044,2025-05-19,=3460,=0,=3810,=-0.002855916649438112,=3286,=210
="301391",卡莱特,计算机设备,=3431934973.3199997,=950.0944501805545,=1.652945701918457,=0.003220605776602926,2025-05-19,=3461,=0,=3727,=-0.006749868039668519,=3369,=43
="000610",西安旅游,旅游综合,=3046945485.87,=-11.60560258078939,=14.909435016204306,=0,2025-05-19,=3462,=0,=3251,=-0.05016020577252103,=3846,=182
