Ticker,Company Name,Industry,Market Price,Market Currency,Report Currency,Market Cap,Financial Year End Date,Past Financial Year Dividends,Latest Invested Capital,Latest Total Debt,Latest Total Asset,Latest Common Equity,Past Annual Sales,Past Annual Cogs,Past Annual Opex,Past Annual Net Income,Past Annual Operating Cash Flow,Past Annual Financing Cash Flow,Past Annual Investing Cash Flow
603895.SS,SHANGHAI TIANYONG ENGINEERING C,Specialty Industrial Machinery,26.36,CNY,CNY,2883388672.0,12-31,0.0,783073334.58,430923887.89,1489666348.82,363314097.66,594921931.06,493202892.84,192462957.32999998,-108452799.92,-109888599.7,90517827.5,7795253.18
603896.SS,ZHEJIANG SHOUXIANGU PHARMACEUTI,Biotechnology,19.51,CNY,CNY,3877711360.0,12-31,0.27,2842429978.2,586571688.82,3131185579.81,2294019344.33,691683550.87,133347493.33,418211638.28999996,174714540.37,213440267.55,-243384216.68,-239757572.79
603897.SS,ZHEJIANG GRANDWALL ELECTRIC SCI,Electrical Equipment & Parts,24.21,CNY,CNY,4997815296.0,12-31,2.2,3552938860.09,995847305.29,6496995385.35,2559299956.3,12985437181.09,12442409741.47,143825269.35000002,236097071.77,-3519320.6,-55122696.09,-73392965.26
603898.SS,GUANGZHOU HOLIKE CREATIVE HOME ,"Furnishings, Fixtures & Appliances",10.12,CNY,CNY,3150204160.0,12-31,0.21,3716699879.04,724033996.11,4553266402.27,3098741980.95,2264832923.68,1470719345.23,544091761.76,217238675.34,463350233.52,-172426159.45,-60716071.54
603899.SS,SHANGHAI MG STATIONERY INC,Business Equipment & Supplies,31.33,CNY,CNY,29166413824.0,12-31,1.0,9256920342.96,750768068.93,16586785179.43,8909859173.13,24228248698.65,19649752559.47,2872195808.4700003,1395844392.5,2289340796.79,-698573860.33,-1574839557.15
603900.SS,LEYSEN JEWELRY INC,Luxury Goods,6.17,CNY,CNY,2335634944.0,12-31,0.0,1909519494.53,51167244.38,2283546377.34,1909519494.53,1222395622.04,816746654.47,538861438.8,-184338868.63,-208439325.92,-95192147.51,235748583.36
603901.SS,HANGZHOU YOUNGSUN INTELLIGENT E,Specialty Industrial Machinery,9.18,CNY,CNY,4477260800.0,12-31,0.08,4159010733.57,1772802331.38,7162745756.34,2539556373.34,3145979250.87,2205444321.84,673896935.3299999,71063004.51,215041070.51,111186328.68,-572953689.81
603903.SS,CSD WATER SERVICE CO LTD,Waste Management,6.78,CNY,CNY,1731062912.0,12-31,0.192,3107258787.65,1510638714.9,4900110478.97,1776245856.51,1598954368.66,1067686490.44,217568322.93,163388406.11,197906081.37,-40153763.19,-75594670.58
603906.SS,JIANGSU LOPAL TECH CO LTD,Oil & Gas Refining & Marketing,9.79,CNY,CNY,5988303360.0,12-31,0.0,9270015266.76,9477793557.45,15808967540.61,3080249444.73,7673051137.54,6961636468.63,905750966.12,-635668136.55,819463771.6,-250066475.11,-1020952064.33
603908.SS,COMEFLY OUTDOOR CO LTD,Apparel Manufacturing,24.61,CNY,CNY,2297737216.0,12-31,0.857,752476618.49,218704818.04,1252160215.5,567245884.76,1455869412.68,1043562591.69,251144265.24,106796937.49,278639823.35,-294923144.59,47632247.95
603909.SS,C&D HOLSIN ENGINEERING CONSULTI,Engineering & Construction,9.19,CNY,CNY,2395584768.0,12-31,0.12,1074486937.92,14263491.68,4616780322.11,1074486937.92,6609020624.43,6215879137.93,204365235.23,95607208.41,470654770.0,-41880258.14,-7312701.22
603912.SS,NANJING CANATAL DATA-CENTRE ENV,Specialty Industrial Machinery,8.42,CNY,CNY,4562023424.0,12-31,0.08,2571822567.34,686687691.14,3262317104.04,1885134876.2,805732162.63,637329261.58,136732846.62,35859241.8,47119841.06,15193238.47,-462787354.39
603915.SS,JIANGSU GUOMAO REDUCER CO LTD,Specialty Industrial Machinery,15.71,CNY,CNY,10354272256.0,12-31,0.32,3591036040.58,6372721.6,5013784332.71,3591036040.58,2660414937.05,1968376335.44,279284000.48,395500856.38,533009831.3,-137797242.45,-643208493.58
603916.SS,SOBUTE NEW MATERIALS CO LTD,Building Materials,7.55,CNY,CNY,3266235904.0,12-31,0.15,5720076099.84,2089515873.73,7960202591.74,4229171053.83,3582118618.81,2324227727.77,882190560.14,160446563.4,369929715.06,138209469.8,-604398843.7
603917.SS,NINGBO HELI TECHNOLOGY CO LTD,Metal Fabrication,12.52,CNY,CNY,2552076800.0,12-31,0.0,1686835240.75,5174072.81,2052549249.85,1684437671.83,585763272.15,482691053.56,78567225.14,-11239482.97,-1834060.53,586700311.81,-102183307.42
603918.SS,SHANGHAI GOLDEN BRIDGE INFOTECH,Information Technology Services,17.08,CNY,CNY,6260212736.0,12-31,0.0,1080076161.17,26839555.42,1607154340.87,1067073661.17,699201688.93,512272839.12,232432039.37,-60834976.87,85426939.09,-12042718.77,-39758852.04
603919.SS,JINHUI LIQUOR CO LTD,Beverages - Wineries & Distilleries,19.39,CNY,CNY,9866193920.0,12-31,0.5,3324129732.3,47549056.93,4604591965.93,3324129732.3,3021264528.01,1180600463.41,1374220723.34,388148488.46,557983904.1,-401705108.02,-333460616.41
603920.SS,OLYMPIC CIRCUIT TECHNOLOGY CO L,Electronic Components,25.5,CNY,CNY,18369460224.0,12-31,0.0,6908032477.24,439513196.36,8988996135.42,6471158063.35,5022026078.13,3862553254.46,448726100.3800001,674744855.31,987664809.19,1749963396.47,-2802713948.24
603922.SS,SUZHOU JIN HONG SHUN AUTO PARTS,Auto Parts,17.25,CNY,CNY,3091200000.0,12-31,0.014,1061658738.64,44345781.57,1563349555.72,1031576183.08,472136455.84,410817572.93,95531655.41999999,6140339.4,-47935225.22,53724399.25,20659717.46
