Ticker,Company Name,Industry,Market Price,Market Currency,Report Currency,Market Cap,Financial Year End Date,Past Financial Year Dividends,Latest Invested Capital,Latest Total Debt,Latest Total Asset,Latest Common Equity,Past Annual Sales,Past Annual Cogs,Past Annual Opex,Past Annual Net Income,Past Annual Operating Cash Flow,Past Annual Financing Cash Flow,Past Annual Investing Cash Flow,Past Annual R&D
8366.HK,ZJ UNITED INV,Engineering & Construction,0.022,HKD,HKD,34698400.0,04-30,0.0,-10075000.0,12568000.0,64872000.0,-22643000.0,302095000.0,296336000.0,7234000.0,-349000.0,5004000.0,27544000.0,140000.0,
8367.HK,SIMPLICITY HLDG,Restaurants,0.335,HKD,HKD,23131750.0,03-31,0.0,39299000.0,16161000.0,69713000.0,34477000.0,91852000.0,65456000.0,12685000.0,8247000.0,9132000.0,-14015000.0,-2113000.0,
8368.HK,CREATIVE CHINA,Entertainment,0.39,HKD,CNY,225341216.0,12-31,0.0,279483000.0,18369000.0,363502000.0,261773000.0,184796000.0,110732000.0,26922000.0,43854000.0,5602000.0,-4242000.0,16000.0,
8370.HK,ZHI SHENG GP,Business Equipment & Supplies,5.78,HKD,CNY,889478400.0,06-30,0.0,29241000.0,21080000.0,89164000.0,19797000.0,57476000.0,53791000.0,25795000.0,-38469000.0,7134000.0,-75883000.0,51498000.0,
8371.HK,TASTEGOURMET GP,Restaurants,1.55,HKD,HKD,588224960.0,03-31,0.134,231757000.0,464855000.0,835154000.0,231757000.0,1023946000.0,582643000.0,273078000.0,90458000.0,300476000.0,-178795000.0,-96717000.0,
8372.HK,GBG HOLDINGS,Medical Distribution,0.108,HKD,HKD,86400000.0,03-31,0.003,103326000.0,1429000.0,114495000.0,103326000.0,81903000.0,39962000.0,34181000.0,7855000.0,6718000.0,-7420000.0,-395000.0,
8373.HK,INDIGO STAR,Engineering & Construction,0.65,HKD,SGD,26000000.0,12-31,0.0,16311000.0,2906000.0,33929000.0,14388000.0,44318000.0,32894000.0,9438000.0,999000.0,6051000.0,-1242000.0,-207000.0,
8375.HK,VERTICAL INT'L,Electronic Components,4.2,HKD,HKD,1209600000.0,12-31,0.0,83764000.0,8631000.0,107601000.0,76618000.0,84262000.0,78139000.0,15826000.0,-12188000.0,8497000.0,-19591000.0,-3719000.0,
8377.HK,HARBOUR EQUINE,Textile Manufacturing,0.102,HKD,HKD,41732484.0,12-31,0.0,52833000.0,35387000.0,79329000.0,19388000.0,69059000.0,72359000.0,24743000.0,-46825000.0,6677000.0,-7421000.0,4434000.0,
8379.HK,PRIME INTEL,Security & Protection Services,0.104,HKD,HKD,83200000.0,03-31,0.0,18785000.0,4955000.0,45190000.0,18785000.0,54372000.0,29178000.0,43486000.0,-15627000.0,-8236000.0,-3243000.0,-2422000.0,
8385.HK,PROSPEROUSPRINT,Specialty Business Services,0.092,HKD,HKD,9603696.0,12-31,0.0,103400000.0,113160000.0,158439000.0,-9150000.0,50056000.0,52025000.0,47854000.0,-45607000.0,-19862000.0,-11230000.0,29307000.0,
8391.HK,CORNERSTONE TEC,Specialty Business Services,0.405,HKD,HKD,366830784.0,12-31,0.0,163164000.0,65775000.0,220140000.0,105444000.0,78132000.0,63908000.0,147237000.0,-124186000.0,-95185000.0,147390000.0,-39346000.0,
8392.HK,SATU HOLDINGS,"Furnishings, Fixtures & Appliances",0.029,HKD,HKD,29000000.0,03-31,0.0,21501000.0,408000.0,26744000.0,21501000.0,45718000.0,32600000.0,21551000.0,-7759000.0,-12479000.0,-671000.0,645000.0,
